"","MasterID","county","huc","smcshed","smc_lu","COMID","psa6c","strcls","lower","meds","upper","csci_sampledate","CSCI","yr","h_asci_max","ASCI","TN","total_n_rep_calc","TP","total_p_rep_calc","Cond","IPI","ev_flowhab","Ev_FlowHab","h_aqhab","H_AqHab","h_subnat","H_SubNat","pct_safn","PCT_SAFN","pct_safn_pred","xcmg","XCMG","xcmg_pred","pct_rc","indexscore_cram","bs","blc","hy","ps","psa2","missing_habitat","missing_chemistry","missing_cram","data_complete","filled_columns","Ev_FlowHab_raw","H_AqHab_raw","H_SubNat_raw","PCT_SAFN_raw","XCMG_raw","cnty","SMC_Name","RBNAME","geometry","pChem","pHab","pChemHab","BiologicalCondition","WaterChemistryCondition","HabitatCondition","OverallStressCondition","OverallStressCondition_detail","StreamHealthIndex","all_there"
"1","408M03166","Ventura",408,"Calleguas","Urban","163864409","SC",NA,NA,NA,NA,2021-07-07,0.44095335,2021,NA,"0.415246545387189",5.8,5.8,1.5,1.5,1683,0.88,0.69,0.72,1.43,0.78,1.07,0.56,79,0.42,48.98,109,0.76,105.88,0,67,61.11,82.92,75,50,"Arid","NO","NO","NO","YES","",0.69,1.43,1.07,79,109,"Ventura","Calleguas","Los Angeles",c(-118.86104, 34.28501),0.999428230686157,0.870326789901508,0.999925856837638,"Impacted for CSCI and ASCI","Severe","Moderate","Severe","Stressed by chemistry degradation","Impacted and stressed",TRUE
"2","408M03182","Ventura",408,"Calleguas","Urban","163864411","SC",NA,NA,NA,NA,2021-07-07,0.56063509,2021,NA,"0.323202580934742",5.9,5.9,1.9,1.9,1681,0.85,0.8,0.84,1.43,0.76,0.83,0.44,91,0.26,48.45,116,0.8,106.08,0,66,50,82.92,91.67,37.5,"Arid","NO","NO","NO","YES","",0.8,1.43,0.83,91,116,"Ventura","Calleguas","Los Angeles",c(-118.83916, 34.29028),0.999555660396978,0.669246307251607,0.999853033035466,"Impacted for CSCI and ASCI","Severe","Moderate","Severe","Stressed by chemistry degradation","Impacted and stressed",TRUE
"3","902M18929","Riverside",902,"Northern San Diego","Agricultural","22548267","SC","possibly unconstrained",0.52209203,0.99811109,1.16174865,2021-06-10,0.89806129,2021,NA,"0.44333367949748",4.7,4.7,0.05,0.05,2032,1.16,0.97,1,1.84,0.93,1.88,0.99,44,0.78,42.71,147,0.79,139.89,0,68,63,81,66,59,"Arid","NO","NO","YES","YES","cram_score,cram_bioticstructure,cram_bufferandladscapecontext,cram_hydrology,cram_physicalstructure",0.97,1.84,1.88,44,147,"Riverside","Northern San Diego","San Diego",c(-117.22049, 33.46879),0.991819508243965,0.840471218412924,0.998694976117377,"Impacted for ASCI","Severe","Moderate","Severe","Stressed by chemistry degradation","Impacted and stressed",TRUE
"4","907FC0001","San Diego",907,"Mission Bay and San Diego River","Urban","20333004","SC","likely constrained",0.38027384,0.4708486,0.69277195,2021-06-10,0.74235641,2021,NA,"0.532385774629163",1.42325,1.8,0.0829,0.0829,2616,0.95,0.35,0.35,1.76,0.9,1.51,0.79,32,1,56.27,118,0.66,133.44,0,66,61.11,62.5,66.67,75,"Arid","NO","NO","NO","YES","",0.35,1.76,1.51,32,118,"San Diego","Mission Bay and San Diego River","San Diego",c(-116.99652, 32.83816),0.998053584702651,0.754114674422486,0.999521405040902,"Impacted for CSCI and ASCI","Severe","Moderate","Severe","Stressed by chemistry degradation","Impacted and stressed",TRUE
"5","903M20328","San Diego",903,"Northern San Diego","Urban","20341709","SC","possibly constrained",0.43223888,0.67282066,0.94424055,2021-06-08,0.47006858,2021,NA,"0.328462967484743",0.88,0.88,0.0965,0.0965,2595,0.960000000000001,0.49,0.5,1.46,0.84,1.05,0.55,75,0.5,51.47,172,1,98.58,0,79,69.44,96.54,75,75,"Arid","NO","NO","NO","YES","",0.49,1.46,1.05,75,172,"San Diego","Northern San Diego","San Diego",c(-117.22944, 33.27547),0.997895448542757,0.790831542517239,0.999559794217995,"Impacted for CSCI and ASCI","Severe","Moderate","Severe","Stressed by chemistry degradation","Impacted and stressed",TRUE
"6","SMC00153","San Diego",903,"Northern San Diego","Urban","20342539","SC","likely constrained",0.37249332,0.62252554,0.67977292,2021-06-08,0.4313562,2021,NA,"0.353582703232891",1.042,1.042,0.0887,0.09,2164,0.81,0.35,0.35,1.17,0.68,0.78,0.41,94,0.27,52.04,152,1,101.63,0,66,55.56,80.63,66.67,62.5,"Arid","NO","NO","NO","YES","",0.35,1.17,0.78,94,152,"San Diego","Northern San Diego","San Diego",c(-117.34611, 33.22193),0.993870311306738,0.944132103189727,0.999657547184606,"Impacted for CSCI and ASCI","Severe","Severe","Severe","Stressed by chemistry and habitat degradation","Impacted and stressed",TRUE
"7","801M17036","Riverside",801,"Middle Santa Ana","Urban","22563072","SC","possibly constrained",0.38898443,0.63005871,0.8384824,2021-06-07,0.76284072,2021,NA,"0.428079141770879",6.5,6.5,1.7,1.7,1000,0.99,0.72,0.75,1.43,0.94,0.68,0.36,74,0.44,46.18,197,1,90.89,0,76,69.44,100,58.33,75,"Arid","NO","NO","NO","YES","",0.72,1.43,0.68,74,197,"Riverside","Middle Santa Ana","Santa Ana",c(-117.5975, 33.92391),0.997467035791359,0.958133378114165,0.999893953345226,"Impacted for CSCI and ASCI","Severe","Severe","Severe","Stressed by chemistry and habitat degradation","Impacted and stressed",TRUE
"8","802WE0658","Riverside",802,"San Jacinto","Open","22535146","SC","possibly unconstrained",0.74065798,0.974679,1.17744277,2021-06-07,0.94470415,2021,NA,"1.04293677544084",0,0,0.05,0.05,91.1,0.84,0.68,0.71,1.02,0.56,1.81,0.95,33,0.65,21.24,74,0.48,119.54,0,94,75,100,100,100,"Arid","NO","NO","NO","YES","",0.68,1.02,1.81,33,74,"Riverside","San Jacinto","Santa Ana",c(-116.74831, 33.79824),0.189244187466832,0.30490127109806,0.436444665258335,"Healthy","Moderate","Moderate","Moderate","Low stress","Healthy and unstressed",TRUE
"9","902RC0001","San Diego",902,"Northern San Diego","Open","22548475","SC","possibly constrained",0.46030791,0.7308549,0.98487711,2021-06-03,0.72904449,2021,NA,"0.690345830758576",2.7,2.7,0.06205,NA,1671,0.98,0.59,0.61,1.47,0.64,1.96,1,22,1,44.13,117,0.62,139.53,0,81,69.44,100,66.67,87.5,"Arid","NO","NO","NO","YES","",0.59,1.47,1.96,22,117,"San Diego","Northern San Diego","San Diego",c(-117.18733, 33.40906),0.980176080955141,0.764316856921108,0.995327836451366,"Impacted for CSCI and ASCI","Severe","Moderate","Severe","Stressed by chemistry degradation","Impacted and stressed",TRUE
"10","801M17028","Riverside",801,"Middle Santa Ana","SMC_out","22560454","SC","possibly constrained",0.46377001,0.73169274,1.04334165,2021-06-02,0.71969469,2021,NA,"0.30820844030545",4.8,4.8,1.4,1.4,1072,0.95,0.53,0.55,1.77,1,0.85,0.45,71,0.48,45.76,123,0.93,92.22,0,72,63.89,90.29,58.33,75,"Arid","NO","NO","NO","YES","",0.53,1.77,0.85,71,123,"Riverside","Middle Santa Ana","Santa Ana",c(-117.47372, 33.96503),0.997068293684851,0.957248802147,0.999874666043274,"Impacted for CSCI and ASCI","Severe","Severe","Severe","Stressed by chemistry and habitat degradation","Impacted and stressed",TRUE
